Feature,Information_Gain
baur,0.0001882094419438352
bawa,0.0011599068267857428
bayar,0.00043914015144671083
begitupula,0.00022932202116135838
bekal,0.00043914015144671083
bekas,0.0012716881209920857
bekerjasama,0.000550175133419531
bekurang,0.00022932202116135838
bel,0.0002951660771293961
belah,0.00029757774086406957
belaka,0.0006882425571326616
belanja,0.0013354545294250882
belantara,0.00022932202116135838
beli,0.001812801723336488
beliiii,0.0001882094419438352
beliin,8.534794684404365e-05
belit,0.00022932202116135838
belok,0.00033627865634686376
belut,0.00022932202116135838
bem,0.00043914015144671083
benah,0.0009714350368680473
benahin,0.00022932202116135838
benak,0.0001882094419438352
bencana,0.00091784123135065
benci,8.534794684404365e-05
benda,8.534794684404365e-05
bendung,0.0004174740515685022
benefitnya,0.0001882094419438352
beneran,0.0005167956745621254
benerin,0.0006882425571326616
benerinya,0.0001882094419438352
benernya,8.534794684404365e-05
bengkak,0.0001882094419438352
bengkalai,0.00033627865634686376
bengkel,0.0002206814696362829
bengkulu,0.0001882094419438352
bensin,0.0020611151414658847
bentar,0.00017686894411602402
benteng,0.00022932202116135838
bentrok,0.00022932202116135838
bentuk,0.0011309183511979946
benz,0.0003580277207180099
beradpatasi,0.00043914015144671083
beranda,0.00037648743362983126
berangkat,8.534794684404365e-05
berani,0.0009050645420613595
beranta,0.00045873618032261356
berantas,0.0001882094419438352
beras,0.0009178412313506513
berbhaan,0.00022932202116135838
berdeklaradi,0.0001882094419438352
berdikari,8.534794684404365e-05
berfikirnya,0.0001882094419438352
berflower,0.0001882094419438352
berhianat,0.0001882094419438352
beril,0.00043914015144671083
berimpah,0.00022932202116135838
berisik,0.0015075978727258454
berita,0.0018380789413306496
beritahu,0.00043914015144671083
beritasatu,0.00014820959043265703
berkat,0.00014820959043265703
berlalih,0.0001882094419438352
bermaksut,0.00043914015144671083
berobah,0.00022932202116135838
bersih,0.001586434670237166
bersikukuh,8.534794684404365e-05
berskongkol,0.00022932202116135838
bertranformasi,0.0002951660771293961
besakih,0.00037648743362983126
besi,0.0008205304929429209
bisa,0.0005883171460294976
busuk,0.0006882425571326616
cars,0.00037648743362983126
cas,0.0008366434178802488
cash,0.0004402764674107922
casion,0.0001882094419438352
catat,0.000597134566149952
cepat,0.0017599863545653123
cepetan,0.00022932202116135838
cerah,0.0003232058854963169
cerdas,0.0004166589733959388
cerdik,0.0001882094419438352
cerita,0.00013287086722007157
cermat,0.00037648743362983126
cermin,0.0001882094419438352
cerobong,8.942034680486303e-05
ces,0.00014820959043265703
cetak,0.00033627865634686376
cetus,0.0001882094419438352
cewe,0.0001882094419438352
dari,0.0003373864365266773
datang,0.0002951660771293961
diri,0.00037648743362983126
dokter,0.0001882094419438352
doktor,0.0001882094419438352
doktrin,0.00022932202116135838
dokumen,0.00045873618032261356
dolar,0.00022932202116135838
dollar,0.0006468307854317961
dolo,0.00033627865634686376
domba,0.00022932202116135838
domestik,0.0002951660771293961
dominan,0.00014820959043265703
dominasi,0.0004629546359955017
dominate,0.00022932202116135838
domino,0.00045873618032261356
dompet,0.00022932202116135838
ekspedisi,0.00043914015144671083
ekstrem,0.00022932202116135838
electric,0.002447917980290063
em,0.00022932202116135838
emas,8.942034680486303e-05
embel,0.00043914015144671083
embrio,0.00022932202116135838
emergi,0.00022932202116135838
emil,0.00022932202116135838
emis,0.00022932202116135838
emisi,0.0023961658901908026
emisikarbon,0.00022932202116135838
ending,0.00022932202116135838
energi,0.0037143845225472666
engah,0.00043914015144671083
enggan,0.0005063930294371777
engine,0.0005019539980244303
engineer,0.0006091916569958343
engineering,0.00014820959043265703
enginer,0.0001882094419438352
engkol,0.0001882094419438352
enthusiast,0.0001882094419438352
enthusiasts,0.00022932202116135838
entrophi,0.00022932202116135838
epik,0.0001882094419438352
era,0.0014369940850285836
eropa,0.0016438994940749896
eropah,0.00022932202116135838
ertiga,0.00022932202116135838
esemboh,0.00022932202116135838
esensi,0.0004174740515685022
esensial,0.0001882094419438352
establish,0.0001882094419438352
etika,0.00022932202116135838
etnis,0.00022932202116135838
euphoria,0.00022932202116135838
evaluasi,0.0004174740515685022
evercos,0.00022932202116135838
evercoss,0.00022932202116135838
everlasting,0.0001882094419438352
evolusi,8.534794684404365e-05
existing,0.0005243732614560463
exit,0.0001882094419438352
fosil,0.0016588179341884286
foto,0.00033627865634686376
fotocopy,0.00022932202116135838
founder,0.0001882094419438352
founding,0.0001882094419438352
gabung,0.0006334881530735384
gabungin,0.00022932202116135838
gadai,0.00045873618032261356
gadang,0.00022932202116135838
gadget,0.0006882425571326633
gadis,0.00043914015144671083
gaduh,0.00033627865634686376
gaet,0.0005905876023931601
gagal,0.002881286526119838
gagas,0.0009178412313506513
gaib,0.00045873618032261356
gain,0.00022932202116135838
gaji,0.0014421239003761938
gala,0.00018934575790797168
galak,0.00022025197969726524
galau,0.0001882094419438352
gali,0.0002581903006165145
galon,6.688823393222231e-05
gamang,0.00043914015144671083
gambar,0.00021703051773473703
gambut,0.00022932202116135838
game,0.00014820959043265703
games,0.00043914015144671083
gamingnya,0.0001882094419438352
gampang,0.00011199492148739054
ganda,0.0006882425571326616
gandeng,0.0013189074778846128
gang,0.00022932202116135838
ganggu,0.00046602176368233704
ganjal,0.00045873618032261356
ganjar,0.0001882094419438352
ganjil,8.534794684404365e-05
ganti,0.002427644743070663
gantung,0.0005376571464697521
gap,6.688823393222231e-05
gara,0.0005497983853615183
garansi,0.00037648743362983083
garasi,0.0002775260212854651
garda,0.00037648743362983126
gardu,0.00022932202116135838
gari,0.00022932202116135838
garuda,0.00022932202116135838
garut,0.0001882094419438352
gas,0.0008855317358650917
gaskeun,0.0001882094419438352
gasoline,0.0001882094419438352
gatrik,0.0001882094419438352
gaul,0.00022932202116135838
gea,0.0001882094419438352
gear,0.0004402764674107922
geber,0.00022932202116135838
gebrak,0.0005927317838798399
gede,0.0017348654730965887
gedung,0.00045873618032261313
gegabah,0.00033627865634686376
geisit,0.0001882094419438352
gejolak,0.0001882094419438352
gelap,0.00045873618032261356
gelar,0.0016470570354306252
gelas,0.00022932202116135838
geliat,8.534794684404365e-05
gelintir,0.00018934575790797168
gelisah,8.534794684404365e-05
gelombang,0.0001882094419438352
gelontor,0.00018934575790797168
gelora,0.00037648743362983126
gemar,0.0001882094419438352
gembar,0.0006877862847682057
gembira,0.0005648340275581018
gembor,0.0005940058612174249
gemborin,0.00022932202116135838
gembos,0.00022932202116135838
gemilang,0.0001882094419438352
gempa,0.00022932202116135838
gempur,0.00022932202116135838
gemuk,0.00043914015144671083
gen,0.0001882094419438352
genap,8.534794684404365e-05
gencar,0.0002894164797844043
gender,0.00043914015144671083
general,0.0001882094419438352
generalisir,0.0001882094419438352
generasi,0.000781158273420182
generator,0.001219431234760939
genggam,0.00022932202116135838
gengsi,0.00022932202116135838
genjot,0.0005936596202058032
genomic,0.0001882094419438352
genre,0.00043914015144671083
genset,0.00026138814717246886
geotermal,0.0002951660771293961
gera,0.00038291365359454277
gerah,0.00022932202116135838
gerai,0.0001882094419438352
gerak,0.0010222872709289648
gerbang,0.0005648340275581018
gerbong,0.0006882425571326616
gercep,0.0001882094419438352
gergaji,0.00022932202116135838
gerkana,0.00043914015144671083
german,0.00043914015144671083
gerombol,0.00043914015144671083
gerus,0.0008785820794104753
gerutu,0.00022932202116135838
geser,0.0018031169133336652
gesit,8.534794684404365e-05
gesits,0.0015075978727258459
get,0.0001882094419438352
getar,0.0002951660771293961
geter,0.00022932202116135838
getol,0.00033627865634686376
ghoib,0.00022932202116135838
gianyar,0.0001882094419438352
gias,0.0001882094419438352
giat,0.00045873618032261356
gibernur,0.0001882094419438352
gigi,0.0002951660771293961
gigih,0.0001882094419438352
gigit,0.0005648340275581018
giias,0.0001882094419438352
gila,0.0037863475104594263
gilette,0.0001882094419438352
gilir,0.0018709224771804294
gimik,0.00022932202116135838
ginian,0.00022932202116135838
ginjal,0.00045873618032261356
ginting,0.0001882094419438352
giri,0.00022932202116135838
giur,0.0006503042362133019
global,0.001017874409746359
gram,0.0005883171460294976
grand,0.00022932202116135838
grandeur,0.00043914015144671083
grandnya,0.00043914015144671083
graphene,0.0001882094419438352
gratis,0.0008448901568880686
gratisin,0.00045873618032261356
gravitasi,0.00043914015144671083
great,0.0001882094419438352
green,0.0006596829478759051
grid,0.0001882094419438352
gridoto,0.0001882094419438352
groove,0.0001882094419438352
grung,0.0001882094419438352
gruop,0.0001882094419438352
grup,0.0006777668675334455
guna,0.00022932202116135838
habbit,0.00043914015144671083
hannover,0.0001882094419438352
hantar,0.00037648743362983126
hapus,0.0005940058612174249
haram,0.00022932202116135838
harap,0.00043265805922521505
head,0.00014820959043265703
heat,0.00022932202116135838
hebat,0.0006069558126308443
himpun,0.0001882094419438352
hnya,0.0004402764674107922
hoaks,0.0011475322828441888
